N,P,K,temperature,humidity,ph,rainfall,season,soil_type,crop
26.8,53.1,58.3,18.8,74.5,6.24,41.2,Rabi,Loamy,peas
25.7,92.9,65.1,23.0,70.1,6.42,77.9,Kharif,Loamy,kidneybeans
27.3,51.6,49.7,32.6,81.1,5.97,86.3,Kharif,Loamy,soybean
65.0,57.8,50.7,23.8,78.0,7.23,325.5,Kharif,Loamy,rice
119.5,40.1,39.7,16.7,83.3,5.2,318.0,Kharif,Loamy,tea
111.1,82.1,128.2,18.4,81.3,5.92,88.5,Rabi,Loamy,potato
109.5,88.6,119.4,16.2,73.3,5.97,87.1,Rabi,Sandy,potato
119.8,33.2,57.4,17.5,82.0,4.77,397.3,Kharif,Loamy,tea
146.4,81.6,129.5,18.9,64.6,6.29,83.7,Rabi,Loamy,potato
22.4,56.8,52.3,20.1,66.1,7.16,41.7,Rabi,Loamy,peas
89.5,44.2,39.1,27.9,79.5,6.55,310.3,Kharif,Loamy,rice
92.9,48.6,41.6,12.8,77.0,6.48,56.0,Rabi,Loamy,mustard
26.0,49.8,59.8,25.2,51.8,6.05,98.2,Kharif,Loamy,soybean
19.1,48.6,26.4,29.5,60.6,6.45,59.7,Kharif,Loamy,blackgram
73.1,45.7,93.7,19.0,64.9,6.79,115.6,Zaid,Sandy,orange
8.6,15.6,21.6,20.4,53.0,5.9,52.3,Rabi,Loamy,lentil
200.0,170.1,239.4,27.7,60.8,6.33,115.9,Zaid,Sandy,papaya
67.4,31.6,29.5,12.7,42.2,6.23,86.8,Rabi,Loamy,barley
63.8,30.1,86.5,21.2,78.0,5.1,336.6,Kharif,Loamy,cardamom
101.9,41.5,39.1,29.3,81.8,6.88,143.7,Kharif,Clayey,jute
58.0,47.2,34.7,14.0,60.9,6.52,55.1,Rabi,Loamy,barley
16.8,71.6,54.9,21.0,80.1,6.23,103.1,Kharif,Loamy,kidneybeans
158.6,57.0,175.1,28.7,78.7,6.91,228.8,Kharif,Loamy,banana
27.0,70.7,82.1,23.7,38.0,6.86,104.5,Kharif,Sandy,groundnut
186.5,55.5,198.8,26.2,82.1,6.6,148.6,Kharif,Loamy,banana
94.7,38.0,94.9,23.9,39.2,6.46,48.0,Zaid,Loamy,pomegranate
127.5,78.8,112.8,18.6,76.1,4.2,66.6,Rabi,Sandy,potato
11.6,57.7,38.8,28.0,58.2,6.63,143.6,Kharif,Sandy,pigeonpeas
83.9,65.9,53.7,24.2,91.0,6.31,227.0,Kharif,Clayey,rice
22.3,59.2,30.5,24.4,58.8,7.38,62.1,Rabi,Sandy,chickpea
39.6,41.2,24.0,19.5,50.0,7.32,38.3,Rabi,Loamy,linseed
86.6,50.5,44.7,19.2,89.2,7.52,208.5,Rabi,Sandy,wheat
109.8,40.9,209.4,29.9,75.9,5.86,177.1,Kharif,Sandy,coconut
89.8,65.2,42.8,25.3,76.2,6.24,202.4,Kharif,Loamy,rice
122.5,48.0,133.3,30.3,75.8,6.03,221.9,Kharif,Loamy,sugarcane
128.0,51.5,64.0,29.1,86.6,4.61,271.2,Kharif,Loamy,rubber
23.4,55.9,40.0,32.5,67.3,6.48,79.5,Kharif,Loamy,cowpea
84.6,62.8,49.1,26.0,77.3,6.38,195.2,Rabi,Loamy,wheat
81.6,37.2,67.7,22.5,73.6,6.39,91.0,Zaid,Loamy,orange
133.7,48.9,41.9,26.2,83.1,5.07,238.4,Kharif,Loamy,tea
52.4,32.0,79.2,21.8,85.6,4.94,355.4,Kharif,Loamy,cardamom
24.4,32.2,33.6,20.9,59.9,6.5,45.8,Rabi,Loamy,linseed
10.0,45.6,52.0,30.3,56.6,7.06,165.0,Kharif,Sandy,pigeonpeas
108.1,43.8,36.8,21.5,87.7,5.65,380.3,Kharif,Loamy,tea
89.1,40.4,50.9,33.5,87.5,5.91,154.5,Kharif,Clayey,jute
76.1,40.3,103.2,24.8,64.3,5.51,85.5,Rabi,Sandy,tobacco
31.6,49.2,86.6,24.5,69.5,5.9,115.4,Kharif,Sandy,groundnut
97.0,58.0,165.1,27.6,75.6,5.38,150.9,Kharif,Loamy,ginger
68.8,46.2,62.2,29.7,73.7,5.98,78.1,Rabi,Loamy,onion
22.3,53.2,22.5,31.1,60.3,6.8,39.3,Kharif,Sandy,mothbeans
5.5,17.9,18.4,17.5,55.5,6.59,36.5,Rabi,Sandy,lentil
77.4,32.1,35.7,21.8,75.1,6.98,195.2,Rabi,Sandy,wheat
79.4,37.7,42.1,30.7,82.8,7.0,119.8,Kharif,Loamy,jute
65.6,31.4,23.9,34.5,42.4,6.56,46.8,Kharif,Sandy,pearl_millet
159.4,57.6,162.6,28.2,82.4,7.08,267.5,Kharif,Loamy,banana
113.8,84.5,102.0,17.6,70.6,6.0,64.0,Rabi,Sandy,potato
81.3,37.5,61.8,21.8,54.3,5.64,58.9,Rabi,Sandy,garlic
123.8,51.9,110.7,25.6,88.3,6.48,213.7,Kharif,Clayey,sugarcane
103.5,55.0,120.8,28.6,78.5,6.72,150.4,Kharif,Clayey,sugarcane
105.3,50.8,195.8,21.1,89.9,6.36,174.6,Kharif,Sandy,coconut
106.3,59.4,69.5,32.1,57.9,6.62,50.5,Kharif,Sandy,sunflower
93.4,29.6,95.0,24.0,83.9,5.42,159.9,Kharif,Loamy,coffee
83.5,49.3,86.4,31.9,68.3,6.72,67.8,Rabi,Sandy,onion
55.3,31.7,73.2,33.7,54.6,6.22,76.8,Rabi,Sandy,grapes
71.9,50.6,54.6,16.5,56.9,6.68,171.7,Rabi,Loamy,apple
88.3,73.9,77.2,21.0,71.3,7.35,46.2,Kharif,Loamy,tomato
23.3,51.1,21.7,29.1,38.8,6.49,49.1,Kharif,Sandy,mothbeans
130.2,76.7,125.8,16.5,86.8,5.92,70.7,Rabi,Sandy,potato
64.1,43.1,54.8,22.3,82.2,4.95,21.0,Rabi,Loamy,garlic
61.7,31.0,75.7,24.4,83.4,4.77,315.3,Kharif,Loamy,cardamom
115.7,49.3,131.1,27.3,83.5,6.99,282.3,Kharif,Clayey,sugarcane
43.9,23.6,27.8,16.9,45.1,7.05,102.3,Rabi,Sandy,barley
58.8,32.1,56.1,16.1,74.0,6.06,78.6,Rabi,Sandy,apple
121.4,50.8,205.1,26.9,75.3,5.63,175.6,Kharif,Loamy,coconut
134.8,72.0,148.3,17.1,79.0,6.33,78.6,Rabi,Loamy,potato
58.2,33.1,54.8,28.2,58.1,6.66,52.7,Kharif,Clayey,sorghum
74.1,38.5,37.7,26.9,81.0,7.98,130.4,Kharif,Loamy,jute
91.1,87.3,93.1,24.1,77.5,7.29,58.6,Kharif,Sandy,tomato
25.4,62.6,93.0,25.8,64.1,7.28,93.4,Kharif,Sandy,groundnut
130.5,69.8,146.8,25.9,78.7,6.29,194.2,Kharif,Clayey,sugarcane
85.3,38.0,34.3,28.3,83.8,6.7,117.5,Kharif,Loamy,jute
55.0,29.6,62.5,29.2,46.9,7.02,52.2,Rabi,Sandy,grapes
16.0,46.6,20.0,31.5,57.9,6.29,77.9,Kharif,Sandy,mungbean
10.8,24.7,12.2,20.6,51.7,6.57,17.2,Rabi,Sandy,lentil
91.9,45.5,54.9,29.1,85.3,7.24,84.2,Kharif,Clayey,jute
137.5,78.0,117.1,14.3,70.5,6.4,93.4,Rabi,Sandy,potato
60.5,34.8,61.9,14.8,59.3,5.57,30.5,Rabi,Sandy,garlic
96.1,41.7,60.6,28.7,87.1,5.42,169.0,Kharif,Loamy,rubber
67.9,41.1,56.4,28.0,86.6,6.7,225.0,Kharif,Clayey,rice
40.3,11.7,21.7,29.8,45.2,6.51,63.5,Kharif,Sandy,sesame
98.8,56.8,81.8,38.3,58.7,7.03,19.7,Zaid,Sandy,mango
119.9,50.0,236.6,29.2,77.6,5.59,199.9,Kharif,Loamy,coconut
86.1,43.7,38.8,33.0,71.3,6.41,56.3,Kharif,Loamy,cotton
111.9,41.5,67.1,25.1,79.7,5.18,311.6,Kharif,Loamy,rubber
76.5,49.5,88.5,28.2,68.6,6.59,80.6,Rabi,Loamy,tobacco
90.3,46.7,56.7,33.4,59.6,6.12,42.6,Zaid,Sandy,watermelon
26.2,49.4,24.5,30.9,61.5,6.96,21.0,Kharif,Loamy,blackgram
25.1,59.3,38.5,28.1,54.5,6.48,67.4,Kharif,Loamy,cowpea
17.8,49.0,23.2,30.0,66.2,6.5,45.4,Kharif,Loamy,mungbean
36.1,32.0,26.6,32.6,53.6,6.61,54.5,Kharif,Sandy,sesame
20.9,50.9,45.7,31.3,76.8,5.62,72.7,Kharif,Loamy,cowpea
46.1,32.0,27.1,19.2,73.1,6.7,101.2,Kharif,Loamy,finger_millet
76.1,46.2,48.7,23.4,77.7,7.31,165.0,Rabi,Loamy,wheat
56.6,25.0,41.3,35.5,55.4,6.43,13.9,Kharif,Sandy,pearl_millet
65.4,40.2,47.5,25.7,50.2,6.01,59.9,Kharif,Sandy,castor
74.3,66.1,38.8,23.3,59.0,5.81,57.0,Kharif,Loamy,maize
94.6,50.0,48.3,25.1,64.2,7.61,87.7,Kharif,Clayey,cotton
26.0,45.5,10.9,27.6,63.6,6.7,80.4,Kharif,Loamy,mungbean
54.9,27.6,36.3,16.1,44.9,6.66,100.7,Rabi,Sandy,barley
24.1,40.7,22.6,30.1,35.3,6.97,73.0,Kharif,Loamy,mungbean
77.0,52.6,44.8,16.2,62.3,7.55,50.4,Rabi,Sandy,mustard
21.8,27.1,27.4,31.6,50.3,6.68,60.2,Kharif,Sandy,mungbean
107.6,68.0,124.2,28.3,86.2,6.22,195.8,Kharif,Loamy,sugarcane
111.0,55.4,41.5,23.2,44.4,6.64,35.2,Kharif,Loamy,maize
95.7,60.0,115.7,29.3,75.3,6.51,259.8,Kharif,Clayey,sugarcane
21.1,82.0,45.6,22.4,67.1,6.39,103.1,Kharif,Loamy,kidneybeans
17.9,61.4,48.2,20.3,74.3,6.85,51.0,Rabi,Sandy,peas
25.6,58.2,49.1,33.3,70.2,6.98,79.8,Kharif,Loamy,cowpea
90.7,62.1,90.7,29.4,59.8,6.53,144.3,Zaid,Loamy,mango
63.4,36.0,45.4,19.9,49.9,6.63,39.4,Rabi,Sandy,mustard
9.4,13.6,18.3,23.4,53.5,7.26,32.7,Rabi,Sandy,lentil
28.7,30.6,26.6,16.5,55.5,6.66,41.9,Rabi,Clayey,linseed
139.8,38.3,45.3,19.4,85.0,4.76,288.5,Kharif,Loamy,tea
55.3,29.6,65.0,26.2,43.9,5.99,57.1,Rabi,Sandy,grapes
64.6,80.7,83.8,21.9,78.7,7.1,50.1,Kharif,Loamy,tomato
93.7,65.9,127.4,26.6,80.6,6.24,155.4,Kharif,Clayey,sugarcane
96.4,44.7,38.8,28.1,85.4,7.18,140.7,Kharif,Clayey,jute
67.3,46.1,54.0,26.0,66.1,6.62,49.8,Rabi,Sandy,garlic
20.9,74.0,53.5,18.1,75.6,5.72,136.5,Kharif,Loamy,kidneybeans
78.5,31.5,35.0,11.6,60.2,6.73,123.0,Rabi,Loamy,barley
108.1,76.4,78.8,29.9,54.0,6.49,53.7,Kharif,Sandy,tomato
102.9,68.6,133.7,34.7,69.5,6.09,180.0,Kharif,Sandy,turmeric
84.2,35.6,43.0,18.6,60.8,7.03,42.5,Rabi,Sandy,mustard
96.1,64.4,84.5,23.4,69.3,6.9,146.4,Zaid,Loamy,guava
21.4,66.4,72.2,26.9,59.1,6.95,69.0,Kharif,Loamy,groundnut
87.7,66.7,70.7,23.5,74.5,6.59,139.9,Zaid,Sandy,guava
93.1,57.0,29.5,27.0,76.8,6.14,124.1,Kharif,Loamy,maize
119.7,54.3,90.7,28.5,78.6,7.0,249.9,Kharif,Clayey,sugarcane
46.1,26.5,48.5,26.7,54.2,6.78,85.6,Rabi,Sandy,grapes
64.2,31.5,63.8,16.0,85.6,5.42,441.1,Kharif,Loamy,cardamom
110.5,39.4,202.8,27.4,75.4,5.75,226.5,Kharif,Sandy,coconut
43.6,16.8,25.2,31.7,46.4,6.47,53.2,Kharif,Loamy,sesame
109.3,64.7,68.7,26.1,78.1,5.5,114.8,Zaid,Loamy,guava
81.9,38.2,39.3,27.2,60.0,7.51,39.8,Rabi,Loamy,mustard
94.0,49.7,73.3,31.1,63.2,5.88,65.0,Kharif,Sandy,sunflower
92.4,58.5,47.1,31.6,68.4,7.08,74.1,Kharif,Loamy,cotton
14.7,41.1,43.6,29.8,48.2,7.41,41.8,Rabi,Sandy,chickpea
95.1,78.0,126.9,17.4,65.9,5.99,66.0,Rabi,Sandy,potato
100.0,89.1,113.9,14.0,79.1,5.83,59.7,Rabi,Loamy,potato
43.1,27.3,64.4,26.8,62.5,6.34,72.5,Rabi,Sandy,grapes
101.3,44.3,43.9,25.2,81.8,6.26,101.5,Kharif,Loamy,maize
91.8,57.6,59.3,26.5,64.5,7.24,93.9,Zaid,Sandy,guava
65.5,35.2,75.7,22.4,81.9,5.26,429.3,Kharif,Loamy,cardamom
117.3,49.9,46.4,34.9,67.1,7.59,88.0,Kharif,Clayey,cotton
81.7,11.5,37.4,26.6,84.4,6.79,279.0,Kharif,Loamy,rice
76.4,62.8,25.4,30.6,87.0,6.34,97.2,Kharif,Sandy,maize
11.2,23.2,11.7,23.0,46.6,7.16,21.7,Rabi,Loamy,lentil
12.0,13.5,18.8,20.9,59.7,6.09,20.4,Rabi,Sandy,lentil
115.0,57.8,63.5,26.7,81.1,7.1,135.1,Kharif,Clayey,rice
33.7,56.7,43.9,28.5,53.4,6.47,63.6,Kharif,Loamy,soybean
98.5,49.5,60.8,30.5,54.3,7.01,82.6,Kharif,Sandy,cotton
86.4,51.8,85.6,27.9,78.4,6.54,119.4,Zaid,Loamy,orange
200.0,200.0,191.4,24.8,73.1,6.35,179.7,Zaid,Loamy,papaya
127.0,64.6,115.5,20.4,74.1,5.56,75.6,Rabi,Loamy,potato
83.2,44.3,52.8,35.4,70.3,6.87,49.4,Zaid,Sandy,watermelon
82.8,35.3,35.8,30.7,82.0,7.04,112.3,Kharif,Clayey,jute
79.9,62.6,70.6,25.5,53.2,6.11,22.1,Zaid,Sandy,pomegranate
193.5,200.0,195.6,28.2,72.7,7.19,84.7,Zaid,Sandy,papaya
98.4,37.4,37.8,22.9,62.7,7.42,74.0,Rabi,Loamy,mustard
128.3,39.2,120.9,30.1,77.0,6.23,209.9,Kharif,Loamy,sugarcane
14.4,56.6,66.2,26.3,48.8,5.85,137.8,Kharif,Sandy,pigeonpeas
113.3,68.1,66.7,33.3,71.9,6.52,136.2,Zaid,Sandy,guava
80.9,54.3,32.2,25.8,78.6,6.56,328.1,Kharif,Loamy,rice
23.3,68.6,58.4,22.0,56.8,5.87,49.2,Kharif,Clayey,soybean
52.8,32.8,21.4,15.3,61.3,6.34,41.8,Rabi,Loamy,linseed
147.1,77.1,125.2,19.9,68.2,6.5,66.7,Rabi,Loamy,potato
52.6,29.8,52.7,34.1,52.1,6.41,92.7,Kharif,Sandy,sorghum
108.3,66.0,110.3,27.7,91.9,4.6,304.9,Kharif,Loamy,pepper
84.7,47.7,44.9,35.8,63.2,6.34,47.2,Zaid,Sandy,watermelon
83.1,68.8,76.6,23.4,71.3,6.47,72.1,Kharif,Sandy,tomato
128.5,58.3,129.4,31.0,81.2,6.93,301.5,Kharif,Loamy,sugarcane
87.1,62.5,92.4,29.1,68.4,6.34,93.6,Rabi,Loamy,tobacco
82.0,42.4,40.5,18.1,82.6,6.79,224.2,Rabi,Loamy,wheat
183.2,59.5,225.1,22.3,74.1,6.62,182.4,Kharif,Loamy,banana
48.2,37.2,29.4,12.2,62.2,5.65,58.4,Rabi,Sandy,barley
85.5,36.2,61.7,28.6,84.1,5.01,304.4,Kharif,Loamy,rubber
75.9,19.8,52.2,32.9,58.3,7.26,119.8,Kharif,Loamy,sorghum
15.7,31.9,36.9,18.8,33.2,6.99,66.3,Rabi,Loamy,chickpea
26.1,54.3,53.7,19.7,40.5,7.13,42.7,Rabi,Sandy,chickpea
72.6,65.2,88.0,24.7,63.2,6.42,49.6,Rabi,Loamy,onion
82.9,59.5,27.6,25.6,60.9,5.82,95.0,Kharif,Sandy,maize
196.6,200.0,250.7,26.4,60.9,6.0,106.4,Zaid,Loamy,papaya
118.0,62.5,105.7,27.2,77.7,6.16,191.7,Kharif,Clayey,sugarcane
42.2,29.3,19.5,34.1,41.3,6.46,49.8,Kharif,Sandy,pearl_millet
20.5,75.1,23.6,22.8,58.6,6.65,117.0,Kharif,Loamy,kidneybeans
85.8,51.1,57.4,29.2,77.3,6.82,71.3,Rabi,Loamy,onion
25.9,55.1,94.2,33.0,49.6,6.11,74.9,Kharif,Sandy,groundnut
58.5,26.4,60.5,31.4,62.1,6.65,44.7,Rabi,Sandy,grapes
95.9,38.7,53.6,30.0,58.2,6.51,78.6,Kharif,Loamy,cotton
14.8,44.4,48.3,20.2,69.4,6.58,31.5,Rabi,Sandy,peas
84.7,41.9,28.7,29.4,83.6,6.66,129.4,Kharif,Loamy,jute
88.0,35.6,187.3,31.5,82.0,5.99,218.9,Kharif,Sandy,coconut
78.6,36.7,37.9,27.3,78.4,7.45,83.6,Kharif,Loamy,jute
68.9,49.4,40.9,24.8,68.9,6.28,93.5,Kharif,Loamy,maize
93.0,50.5,71.0,29.8,68.5,7.07,47.5,Zaid,Loamy,pomegranate
15.5,52.8,46.5,28.5,65.7,5.8,166.0,Kharif,Loamy,pigeonpeas
128.5,42.9,76.2,26.6,68.1,7.34,62.7,Zaid,Sandy,guava
26.4,37.1,24.0,28.2,59.3,6.72,64.9,Kharif,Loamy,blackgram
22.8,53.4,19.4,26.3,42.5,6.99,58.4,Kharif,Sandy,mothbeans
111.0,34.2,150.5,24.7,79.2,6.12,188.7,Kharif,Loamy,ginger
12.0,17.9,19.3,25.6,66.5,6.7,65.7,Rabi,Sandy,lentil
20.3,47.5,45.2,21.4,64.4,6.68,70.0,Rabi,Loamy,chickpea
76.9,66.5,37.3,24.4,72.0,6.74,167.2,Rabi,Sandy,wheat
85.3,37.9,139.5,30.0,77.8,6.66,143.0,Kharif,Clayey,sugarcane
86.4,68.7,95.5,27.2,81.3,5.97,181.9,Kharif,Loamy,sugarcane
50.2,31.3,25.2,20.2,72.2,6.15,99.5,Kharif,Sandy,finger_millet
112.1,53.5,116.9,28.8,94.4,6.71,214.7,Kharif,Loamy,sugarcane
31.4,45.5,80.1,25.1,60.9,6.85,81.3,Kharif,Sandy,groundnut
17.8,39.8,57.6,28.4,68.6,5.93,175.4,Kharif,Loamy,pigeonpeas
97.4,46.7,43.2,27.5,78.9,6.92,290.5,Kharif,Loamy,rice
66.4,46.7,59.3,19.0,34.2,5.65,65.7,Rabi,Loamy,garlic
126.6,54.6,157.8,28.7,69.0,6.49,164.9,Kharif,Loamy,turmeric
121.5,46.2,40.9,31.3,49.8,7.03,89.5,Kharif,Clayey,cotton
97.4,37.5,54.7,26.5,86.7,6.7,228.3,Kharif,Loamy,rice
27.3,69.7,25.2,31.9,69.0,6.84,111.8,Kharif,Clayey,soybean
93.2,50.5,73.6,25.2,61.9,6.24,63.7,Rabi,Sandy,onion
12.1,25.1,19.0,20.6,59.7,5.57,35.9,Rabi,Sandy,lentil
22.7,54.2,42.3,27.2,64.9,6.28,101.6,Kharif,Loamy,soybean
24.5,46.2,43.8,25.7,58.7,6.93,83.8,Kharif,Sandy,cowpea
122.3,47.3,45.6,31.8,56.0,7.06,76.6,Kharif,Clayey,cotton
70.1,30.0,34.3,28.7,80.9,6.54,142.6,Kharif,Loamy,jute
126.8,47.7,134.7,28.1,67.2,6.29,113.3,Kharif,Sandy,turmeric
69.7,34.6,94.5,18.8,81.3,5.36,500.0,Kharif,Loamy,cardamom
94.5,37.7,28.5,18.1,55.9,6.53,47.4,Rabi,Sandy,mustard
42.5,23.5,58.8,18.9,77.9,6.73,109.5,Rabi,Sandy,apple
93.9,60.7,153.0,28.5,80.0,6.01,299.4,Kharif,Loamy,ginger
26.9,56.2,37.7,36.3,77.8,7.25,108.0,Kharif,Sandy,cowpea
21.8,53.9,75.2,26.6,56.1,6.33,102.4,Kharif,Sandy,groundnut
18.9,51.1,65.7,33.0,57.4,6.37,84.3,Kharif,Sandy,groundnut
111.1,65.0,78.6,28.3,61.5,5.97,63.4,Zaid,Loamy,mango
77.7,56.8,59.9,27.5,58.6,6.37,72.8,Kharif,Loamy,sunflower
92.3,56.4,91.2,16.9,71.0,5.48,62.4,Zaid,Loamy,guava
95.6,35.7,42.4,24.0,90.7,6.88,249.5,Kharif,Clayey,rice
53.6,35.2,47.2,14.1,66.8,6.76,110.6,Rabi,Sandy,apple
35.0,29.5,38.7,15.4,76.3,6.32,35.5,Rabi,Clayey,linseed
119.2,75.4,64.5,28.5,68.8,6.03,71.1,Kharif,Loamy,tomato
17.4,50.6,57.3,28.2,62.4,5.33,156.4,Kharif,Sandy,pigeonpeas
60.4,49.5,60.4,21.6,70.2,6.33,54.9,Rabi,Sandy,apple
88.7,55.6,81.8,30.0,66.2,6.18,106.4,Zaid,Sandy,guava
29.0,30.8,89.7,24.8,59.9,7.76,53.4,Kharif,Sandy,groundnut
84.5,52.7,114.8,26.0,70.9,7.31,228.8,Kharif,Loamy,sugarcane
99.8,48.7,80.9,26.4,60.2,5.18,129.9,Zaid,Sandy,orange
87.4,58.7,58.4,27.8,52.4,6.18,36.5,Kharif,Loamy,sunflower
139.3,86.4,106.7,16.3,71.3,5.83,75.2,Rabi,Loamy,potato
13.0,48.5,45.6,27.6,53.3,5.95,131.8,Kharif,Sandy,pigeonpeas
25.4,48.7,29.5,28.5,58.6,6.83,68.8,Kharif,Sandy,mungbean
49.6,19.1,25.1,23.6,70.6,5.62,85.5,Kharif,Sandy,finger_millet
33.3,26.2,27.8,18.1,63.5,6.63,35.3,Rabi,Loamy,linseed
80.6,29.8,37.5,29.9,69.6,6.83,92.1,Kharif,Clayey,cotton
170.9,54.5,183.4,28.2,81.9,6.55,177.0,Kharif,Loamy,banana
21.5,50.2,65.8,15.6,84.7,6.51,60.8,Rabi,Loamy,peas
91.2,47.6,81.5,31.7,45.8,6.01,49.5,Zaid,Sandy,pomegranate
104.3,67.1,136.4,27.9,78.8,6.54,210.0,Kharif,Clayey,sugarcane
21.9,65.9,57.1,27.4,62.4,5.74,113.3,Kharif,Loamy,soybean
95.8,61.7,60.6,23.8,72.6,6.08,196.1,Rabi,Sandy,wheat
90.9,34.7,30.3,22.6,82.8,6.24,107.9,Kharif,Loamy,rice
44.3,41.2,58.9,17.6,77.8,6.43,148.2,Rabi,Loamy,apple
94.6,43.0,30.7,32.1,59.7,6.36,67.4,Kharif,Sandy,sorghum
127.0,77.4,135.2,17.7,78.2,6.33,93.5,Rabi,Sandy,potato
55.6,28.6,52.2,22.8,55.3,6.33,64.9,Rabi,Sandy,grapes
25.7,40.5,43.2,28.0,72.2,6.35,61.8,Kharif,Sandy,cowpea
37.1,30.5,39.3,30.8,63.2,6.26,105.8,Kharif,Sandy,finger_millet
21.1,63.2,18.6,24.2,51.8,6.72,46.7,Kharif,Sandy,mothbeans
110.7,52.3,50.0,29.6,89.1,7.12,287.8,Kharif,Loamy,rice
81.4,30.8,69.1,26.3,61.5,6.19,125.6,Zaid,Loamy,orange
79.7,27.5,52.0,36.6,55.4,6.76,47.9,Zaid,Sandy,watermelon
12.8,23.3,15.1,20.6,67.7,7.26,50.0,Rabi,Sandy,lentil
27.9,80.0,45.9,29.1,60.1,6.27,120.0,Kharif,Clayey,soybean
90.5,39.2,35.8,15.9,73.7,7.92,25.9,Rabi,Sandy,mustard
104.2,66.2,118.6,26.3,74.5,6.85,189.5,Kharif,Loamy,sugarcane
75.0,54.8,35.4,25.0,67.2,7.09,44.8,Kharif,Loamy,maize
63.7,47.9,53.0,24.9,83.4,6.97,162.5,Rabi,Sandy,wheat
173.2,58.6,234.0,26.5,76.7,6.66,272.5,Kharif,Loamy,banana
12.3,47.7,48.9,31.1,67.9,5.96,148.0,Kharif,Sandy,pigeonpeas
60.8,40.2,61.8,13.9,64.4,6.45,152.0,Rabi,Loamy,apple
78.7,49.2,26.7,26.4,77.9,6.36,92.1,Kharif,Loamy,maize
89.6,65.3,98.2,34.7,63.2,6.79,45.2,Zaid,Sandy,pomegranate
17.5,93.9,69.0,21.7,66.0,5.68,118.4,Kharif,Loamy,kidneybeans
59.5,38.8,37.4,22.4,87.3,5.85,233.7,Kharif,Clayey,rice
121.4,40.3,109.9,24.6,84.8,5.56,243.0,Kharif,Loamy,coffee
85.3,36.3,51.1,18.3,88.0,7.16,224.7,Rabi,Sandy,wheat
21.1,50.7,18.9,28.1,51.2,6.39,75.5,Kharif,Loamy,mungbean
102.6,40.8,138.0,26.8,74.4,6.08,214.7,Kharif,Clayey,sugarcane
72.9,44.9,88.5,25.1,71.8,5.88,44.5,Rabi,Sandy,tobacco
96.2,65.4,114.9,33.9,72.0,6.06,119.2,Zaid,Sandy,mango
71.8,46.7,74.0,25.0,74.9,6.6,55.8,Rabi,Loamy,onion
77.3,59.7,42.4,19.1,65.7,7.32,158.3,Rabi,Loamy,wheat
50.2,26.1,30.1,36.3,39.2,7.51,48.3,Kharif,Sandy,pearl_millet
19.0,55.0,33.9,16.6,45.1,6.39,53.2,Rabi,Sandy,chickpea
38.4,51.3,42.3,22.0,66.2,7.18,210.8,Rabi,Sandy,wheat
3.6,46.7,41.1,26.6,61.4,5.88,149.5,Kharif,Sandy,pigeonpeas
27.3,77.1,46.0,32.0,64.2,6.92,78.4,Kharif,Loamy,soybean
74.9,45.6,36.3,21.9,64.0,6.88,60.9,Rabi,Sandy,mustard
194.4,64.9,209.0,28.8,77.3,6.89,180.5,Kharif,Loamy,banana
19.7,39.6,52.8,13.0,79.8,6.34,66.4,Rabi,Loamy,peas
87.9,61.7,137.5,27.0,82.7,7.26,177.6,Kharif,Loamy,sugarcane
140.7,83.1,116.5,15.8,79.2,5.68,83.1,Rabi,Loamy,potato
21.4,61.6,23.3,33.7,52.7,6.38,57.8,Kharif,Sandy,mothbeans
79.5,35.2,58.2,23.1,55.2,6.25,57.3,Rabi,Sandy,garlic
119.1,32.5,27.2,25.4,72.4,6.77,87.6,Kharif,Sandy,cotton
73.4,17.4,33.8,16.8,54.7,6.91,77.6,Rabi,Loamy,barley
63.8,40.6,38.1,37.2,64.6,6.13,95.5,Kharif,Clayey,sorghum
118.5,74.7,126.6,15.0,83.4,6.29,76.8,Rabi,Loamy,potato
76.5,27.5,35.2,27.5,61.1,6.69,75.5,Kharif,Sandy,castor
63.4,42.2,28.3,18.5,51.5,6.36,76.9,Rabi,Sandy,barley
52.2,28.6,34.2,29.0,55.0,7.05,65.2,Kharif,Sandy,pearl_millet
61.8,46.9,46.9,25.7,89.0,6.71,178.9,Kharif,Loamy,rice
50.9,41.3,62.9,13.6,63.7,5.32,102.1,Rabi,Sandy,apple
63.7,45.6,105.3,20.3,74.0,6.03,57.7,Rabi,Loamy,onion
99.8,64.3,107.4,26.6,76.2,6.39,236.1,Kharif,Loamy,sugarcane
81.9,51.6,61.3,30.4,60.2,7.02,72.0,Kharif,Loamy,sunflower
89.6,51.9,98.2,30.4,68.7,6.4,92.7,Zaid,Loamy,mango
21.1,33.3,54.3,18.7,77.6,7.09,73.6,Rabi,Sandy,peas
69.9,41.3,53.5,17.8,51.1,5.94,105.2,Rabi,Loamy,apple
13.5,13.6,23.7,24.2,58.4,6.59,28.2,Rabi,Sandy,lentil
117.8,39.7,123.5,25.6,85.9,6.05,145.3,Kharif,Loamy,turmeric
127.0,39.6,194.6,25.6,81.8,5.73,240.6,Kharif,Loamy,coconut
126.1,95.4,105.1,20.3,64.8,6.12,63.2,Rabi,Loamy,potato
19.1,53.1,18.3,26.7,49.7,6.87,39.2,Kharif,Sandy,mothbeans
60.8,39.5,80.8,23.6,84.8,5.5,339.4,Kharif,Loamy,cardamom
